generic_name_encoded,availability_encoded,shortage_reason_encoded,dosage_form_encoded,company_name_encoded,update_type_encoded,therapeutic_category_encoded,year,month
78,3,3,8,54,2,1,2012,2
133,0,8,25,116,1,15,2023,7
38,3,2,8,118,1,11,2023,4
146,0,8,8,125,1,1,2020,4
226,4,8,1,122,0,10,2025,4
188,4,8,24,122,0,6,2025,7
236,4,8,8,92,0,4,2025,11
20,0,8,8,11,1,1,2020,1
103,0,8,8,54,1,8,2017,11
83,4,8,20,117,0,18,2025,6
31,0,8,8,63,1,1,2018,2
128,3,3,8,54,2,1,2012,2
12,0,8,24,49,1,15,2022,10
11,4,8,24,119,0,4,2025,6
206,0,8,8,42,1,1,2018,3
57,4,8,24,17,0,15,2025,8
141,0,8,4,85,2,15,2025,2
154,4,8,24,109,2,0,2024,2
12,0,8,24,7,2,15,2022,10
101,4,8,24,2,0,15,2025,11
132,0,8,0,113,2,15,2023,7
85,0,8,8,22,1,1,2022,10
32,3,3,8,54,2,1,2018,2
31,0,8,8,54,2,1,2018,2
127,4,8,24,31,0,6,2025,7
205,0,8,8,103,1,1,2023,2
103,0,8,8,42,1,8,2017,11
201,2,6,0,68,1,2,2021,12
206,0,8,8,42,1,1,2018,3
151,0,8,8,93,1,0,2017,10
32,3,0,8,42,1,1,2018,2
0,4,8,24,35,0,0,2025,11
35,4,8,8,54,0,4,2025,11
61,0,8,8,53,2,5,2019,2
14,4,8,8,103,0,2,2025,12
62,3,3,8,92,2,1,2020,4
121,4,8,24,9,0,4,2026,3
193,0,8,8,53,2,0,2023,11
96,0,3,8,47,1,4,2020,4
88,0,8,8,54,1,0,2012,1
12,0,8,24,109,1,15,2022,10
62,0,8,8,38,2,1,2020,4
39,4,8,8,42,0,2,2026,1
133,0,8,25,113,2,15,2023,7
62,3,1,8,53,2,1,2020,4
12,0,8,24,114,1,15,2022,10
124,2,3,8,54,2,0,2018,3
196,3,5,24,68,1,4,2023,1
209,3,3,8,42,1,6,2017,7
118,4,8,8,58,0,11,2026,2
128,0,8,8,54,1,1,2012,2
69,0,8,8,20,1,4,2017,11
128,4,8,8,54,0,1,2025,11
9,3,1,8,20,2,7,2020,12
91,0,8,0,23,1,11,2022,8
132,0,8,0,117,2,15,2023,7
108,0,8,8,117,2,0,2017,11
54,0,8,2,80,1,16,2023,11
132,2,6,0,107,1,15,2023,7
97,4,8,8,54,0,11,2025,9
88,0,8,8,53,2,0,2023,12
63,0,8,8,89,1,6,2022,3
128,0,8,8,42,1,1,2012,2
69,0,8,8,20,1,4,2017,11
124,0,8,8,6,1,0,2018,3
50,4,8,5,117,0,5,2025,8
31,0,8,8,54,2,1,2018,2
142,0,8,24,123,1,15,2023,7
142,0,8,24,60,1,15,2023,7
142,2,6,24,65,1,15,2023,7
21,3,1,8,38,2,11,2020,12
68,4,8,24,122,0,10,2025,4
232,0,8,8,42,1,10,2020,12
47,4,8,0,92,0,2,2026,2
99,4,8,24,92,0,6,2025,7
132,0,8,0,65,1,15,2023,7
202,0,8,8,104,1,2,2021,2
150,4,8,25,87,0,16,2025,11
142,3,6,24,65,1,15,2023,7
25,4,8,24,122,0,10,2025,4
177,4,8,24,35,0,0,2025,10
171,2,6,8,128,2,3,2025,1
198,4,8,24,116,0,15,2026,3
142,0,8,24,117,2,15,2023,7
11,4,8,24,119,0,4,2025,6
32,0,8,8,42,1,1,2018,2
31,3,3,8,54,2,1,2018,2
195,3,6,8,53,2,4,2023,10
21,0,8,8,1,1,11,2020,12
0,4,8,24,35,0,0,2025,11
49,3,1,8,92,2,2,2023,3
117,4,8,8,33,0,6,2025,10
182,4,8,24,113,0,4,2026,1
210,4,8,8,43,0,7,2025,6
226,4,8,1,122,0,10,2025,4
64,0,8,8,42,1,6,2022,2
143,0,8,8,92,1,19,2021,12
31,0,8,8,38,2,1,2018,2
188,4,8,24,117,0,6,2025,11
205,2,1,8,93,2,1,2023,2
214,0,8,8,54,1,13,2021,11
49,0,8,8,103,1,2,2023,3
12,0,8,24,117,2,15,2022,10
31,0,8,8,54,1,1,2018,2
140,0,1,8,42,1,19,2023,3
108,3,3,8,42,1,0,2017,11
209,0,8,8,67,1,6,2017,3
132,2,6,0,34,1,15,2023,7
206,0,8,8,108,1,1,2018,3
38,0,8,8,38,2,11,2023,4
73,4,8,24,79,0,2,2026,1
69,3,3,8,54,2,4,2017,11
32,3,3,8,54,2,1,2018,2
95,4,8,24,35,0,10,2025,11
133,0,8,25,113,2,15,2023,7
12,2,1,24,36,2,15,2022,10
209,3,3,8,54,2,6,2017,3
9,0,8,8,20,1,7,2020,12
12,0,8,24,49,1,15,2022,10
51,0,8,24,100,1,10,2023,3
38,3,2,8,118,1,11,2023,4
71,4,8,8,54,0,4,2025,8
117,4,8,8,33,0,6,2025,10
100,4,8,24,117,0,6,2025,6
137,3,3,8,54,2,0,2025,5
196,0,8,24,23,1,4,2023,1
154,4,8,24,34,2,0,2024,2
156,4,8,8,42,0,0,2026,1
132,2,6,0,109,1,15,2023,7
127,4,8,24,31,0,6,2025,7
223,2,6,8,28,2,9,2023,12
87,4,8,24,2,0,4,2025,6
155,4,8,24,120,0,4,2026,3
151,3,1,8,42,1,0,2017,10
142,0,8,24,123,1,15,2023,7
29,0,8,8,42,1,4,2018,1
131,0,8,8,86,1,6,2023,7
132,0,8,0,65,2,15,2023,7
85,3,1,8,38,2,1,2022,10
143,0,8,8,92,1,19,2021,12
168,4,8,8,115,0,3,2025,8
52,4,8,24,46,0,3,2025,10
78,0,8,8,42,1,1,2016,10
20,0,8,8,53,2,1,2023,12
32,0,8,8,42,1,1,2018,2
154,4,8,24,1,2,0,2024,2
140,0,8,8,54,1,19,2023,3
109,3,3,8,117,2,13,2024,11
96,0,8,8,20,1,4,2020,4
214,0,8,8,42,1,13,2021,11
51,0,8,24,100,1,10,2023,3
137,0,8,8,53,1,0,2025,5
46,4,8,18,122,0,4,2025,5
206,3,3,8,42,1,1,2018,3
206,3,3,8,42,1,1,2018,3
12,0,8,24,88,2,15,2022,10
88,3,3,8,42,2,0,2012,1
132,2,6,0,53,1,15,2023,7
124,0,8,8,47,1,0,2018,6
140,0,8,8,54,1,19,2023,3
62,0,8,8,78,1,1,2020,4
12,3,0,24,88,1,15,2022,10
142,0,8,24,60,1,15,2023,7
128,0,8,8,42,1,1,2012,2
20,0,8,8,54,1,1,2012,1
31,0,8,8,54,1,1,2018,2
38,4,8,8,118,0,11,2025,3
137,3,3,8,54,2,0,2025,5
201,0,8,0,36,1,2,2021,12
64,0,8,8,18,1,6,2022,2
146,0,3,8,47,1,1,2020,4
12,0,8,24,65,1,15,2022,10
31,0,8,8,54,2,1,2018,2
191,4,8,24,117,0,4,2025,6
62,0,8,8,106,1,1,2020,4
135,4,8,21,124,0,3,2026,1
108,2,3,8,117,2,0,2017,11
128,0,8,8,11,1,1,2012,2
174,3,3,8,92,2,2,2023,4
2,4,8,8,92,0,19,2025,10
51,1,8,24,100,1,10,2023,3
128,0,8,8,105,1,1,2012,2
128,0,8,8,54,1,1,2012,2
154,4,8,24,34,2,0,2024,2
12,0,8,24,114,1,15,2022,10
205,0,8,8,103,1,1,2023,2
205,0,8,8,20,1,1,2023,2
61,3,1,8,53,2,5,2019,2
170,4,8,0,0,0,6,2025,10
51,0,8,24,16,1,10,2023,3
128,0,8,8,105,1,1,2012,2
38,0,8,8,54,1,11,2023,4
4,4,8,24,12,0,3,2025,7
64,0,8,8,89,1,6,2022,2
88,0,8,8,53,2,0,2023,12
146,0,8,8,53,2,1,2020,4
12,0,8,24,88,2,15,2022,10
86,4,8,24,117,0,21,2026,3
31,0,8,8,55,1,1,2018,2
128,0,8,8,38,2,1,2018,2
11,4,8,24,119,0,4,2025,6
142,3,3,24,123,1,15,2023,7
88,3,1,8,54,2,0,2012,1
64,0,8,8,18,1,6,2022,2
86,4,8,24,117,0,21,2026,3
215,2,3,9,89,1,7,2023,4
206,0,8,8,57,1,1,2018,3
132,2,6,0,107,1,15,2023,7
65,0,8,8,54,1,6,2022,1
128,0,8,8,105,1,1,2012,2
75,4,8,24,117,0,18,2025,5
164,4,8,8,103,0,11,2025,10
199,0,8,8,53,2,0,2022,6
12,3,6,24,16,2,15,2022,10
128,0,8,8,54,2,1,2012,2
163,4,8,0,44,0,3,2025,7
62,0,8,8,92,1,1,2020,4
128,0,8,8,42,1,1,2012,2
9,0,8,8,20,2,7,2020,12
120,4,8,0,60,0,2,2026,2
125,4,8,8,20,2,6,2024,10
209,4,8,8,54,0,6,2025,11
198,4,8,24,116,0,15,2026,3
31,0,8,8,54,2,1,2018,2
151,2,3,8,54,2,0,2017,10
214,0,8,8,70,1,13,2021,11
