generic_name,status,availability,shortage_reason,dosage_form,company_name,initial_posting_date,update_type,therapeutic_category,year,month
Midazolam Hydrochloride Injection,Current,Unavailable,Demand increase for the drug,Injection,"Avet Pharmaceuticals, Inc.",2020-04-02,Revised,Anesthesia,2020,4
Lisdexamfetamine Dimesylate Capsule,Current,Available,Unknown,Capsule,Apotex Corp.,2023-11-01,Reverified,Psychiatry,2023,11
Ivabradine Hydrochloride Tablet,To Be Discontinued,Unknown,Unknown,Tablet,Amgen Inc.,2026-03-24,New,Cardiovascular,2026,3
Lisdexamfetamine Dimesylate Capsule,Current,Limited Availability,Shortage of an active ingredient,Capsule,"Elite Laboratories, Inc.",2023-07-14,Reverified,Psychiatry,2023,7
Lisdexamfetamine Dimesylate Capsule,Current,Limited Availability,Shortage of an active ingredient,Capsule,"Hikma Pharmaceuticals USA, Inc.",2023-07-14,Reverified,Psychiatry,2023,7
"Topiramate Capsule, Extended Release",To Be Discontinued,Unknown,Unknown,"Capsule, Extended Release","Upsher-Smith Laboratories, LLC",2025-04-24,New,Neurology,2025,4
Dexmedetomidine Hydrochloride Injection,Current,Available,Unknown,Injection,HQ Specialty Pharma,2020-04-10,Reverified,Anesthesia,2020,4
Atazanavir Sulfate Capsule,To Be Discontinued,Unknown,Unknown,Capsule,Bristol Myers Squibb Co.,2025-06-04,New,Antiviral,2025,6
Dextrose Monohydrate 70% Injection,Current,Available,Unknown,Injection,Otsuka ICU Medical LLC,2024-10-11,Reverified,Endocrinology/Metabolism,2024,10
Sterile Water Injection,Current,Available,Unknown,Injection,"Hospira, Inc., a Pfizer Company",2021-11-23,Reverified,Other,2021,11
Bumetanide Injection,Current,Available,Unknown,Injection,MSN Laboratories Private Limited,2017-12-13,Reverified,Cardiovascular,2017,12
Lisdexamfetamine Dimesylate Capsule,Current,Available,Unknown,Capsule,"Teva Pharmaceuticals USA, Inc.",2023-07-14,Revised,Psychiatry,2023,7
Omeprazole Delayed Release Capsule,To Be Discontinued,Unknown,Unknown,Unknown,Sandoz Inc.,2025-10-09,New,Gastroenterology,2025,10
Phenobarbital Tablet,To Be Discontinued,Unknown,Unknown,Tablet,"Endo Pharmaceuticals, Inc.",2025-10-31,New,Analgesia/Addiction,2025,10
Ropivacaine Hydrochloride Injection,Current,Available,Unknown,Injection,Eugia US LLC,2018-03-23,Revised,Anesthesia,2018,3
"Lisdexamfetamine Dimesylate Tablet, Chewable",Current,Available,Unknown,"Tablet, Chewable","Sun Pharmaceutical Industries, Inc.",2023-07-14,Revised,Psychiatry,2023,7
Clindamycin Phosphate Injection,Current,Available,Unknown,Injection,Baxter Healthcare,2023-03-21,Reverified,Anti-Infective,2023,3
Dextrose Monohydrate 5% Injection,Current,Available,Unknown,Injection,Baxter Healthcare,2022-02-14,Revised,Endocrinology/Metabolism,2022,2
Dopamine Hydrochloride Injection,Current,Unavailable,Other,Injection,"Hospira, Inc., a Pfizer Company",2017-11-06,Revised,Cardiovascular,2017,11
Methylprednisolone Acetate Injection,Current,Limited Availability,Other,Injection,Amneal Pharmaceuticals,2021-12-15,Revised,Rheumatology,2021,12
Nitroglycerin Injection,Resolved,Unknown,Unknown,Injection,Baxter Healthcare,2023-10-06,Revised,Cardiovascular,2023,10
Posaconazole Injection,To Be Discontinued,Unknown,Unknown,Injection,Merck Sharp & Dohme Corp.,2025-12-02,New,Anti-Infective,2025,12
Baclofen Tablet,To Be Discontinued,Unknown,Unknown,Tablet,"Upsher-Smith Laboratories, LLC",2025-04-23,New,Neurology,2025,4
"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection",Current,Available,Unknown,Injection,"Hospira, Inc., a Pfizer Company",2018-02-20,Reverified,Anesthesia,2018,2
Lisdexamfetamine Dimesylate Capsule,Current,Available,Unknown,Capsule,"Lannett Company, Inc.",2023-07-14,Reverified,Psychiatry,2023,7
"Methylphenidate Film, Extended Release",Current,Available,Unknown,"Film, Extended Release","Noven Pharmaceuticals, Inc.",2025-02-28,Revised,Psychiatry,2025,2
Nebivolol Hydrochloride Tablet,To Be Discontinued,Unknown,Unknown,Tablet,Torrent Pharmaceuticals Limited,2026-03-25,New,Cardiovascular,2026,3
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Limited Availability,Shortage of an active ingredient,Tablet,Sandoz Inc.,2022-10-12,Reverified,Psychiatry,2022,10
Dextrose Monohydrate 10% Injection,Current,Available,Unknown,Injection,B. Braun Medical Inc.,2022-03-01,Reverified,Endocrinology/Metabolism,2022,3
Dextrose Monohydrate 5% Injection,Current,Available,Unknown,Injection,Baxter Healthcare,2022-02-14,Reverified,Endocrinology/Metabolism,2022,2
Deferiprone Tablet,To Be Discontinued,Unknown,Unknown,Tablet,"Chiesi USA, Inc.",2025-11-07,New,Hematology,2025,11
Furosemide Injection,Current,Available,Unknown,Injection,"Meitheal Pharmaceuticals, Inc.",2020-04-07,Reverified,Cardiovascular,2020,4
Lidocaine Hydrochloride Injection,Current,Available,Unknown,Injection,"Fresenius Kabi USA, LLC",2012-02-22,Reverified,Anesthesia,2012,2
Lidocaine Hydrochloride Injection,Current,Unavailable,Discontinuation of the manufacture of the drug,Injection,"Hospira, Inc., a Pfizer Company",2012-02-22,Reverified,Anesthesia,2012,2
Methylprednisolone Acetate Injection,Current,Available,Unknown,Injection,Pfizer Inc.,2021-12-15,Reverified,Rheumatology,2021,12
Lisdexamfetamine Dimesylate Capsule,Current,Limited Availability,Shortage of an active ingredient,Capsule,SpecGx LLC,2023-07-14,Reverified,Psychiatry,2023,7
Methylprednisolone Acetate Injection,Current,Unavailable,Demand increase for the drug,Injection,"Par Health, USA LLC",2022-06-16,Reverified,Rheumatology,2022,6
Sodium Bicarbonate Injection,Current,Unavailable,Discontinuation of the manufacture of the drug,Injection,"Hospira, Inc., a Pfizer Company",2017-03-01,Reverified,Endocrinology/Metabolism,2017,3
Clonazepam Tablet,Current,Unavailable,Requirements related to complying with good manufacturing practices,Tablet,Accord Healthcare Inc.,2023-03-10,Revised,Neurology,2023,3
Lisdexamfetamine Dimesylate Capsule,Current,Unavailable,Shortage of an active ingredient,Capsule,Amneal Pharmaceuticals,2023-07-14,Reverified,Psychiatry,2023,7
Methotrexate Sodium Injection,Current,Limited Availability,Other,Injection,"Teva Pharmaceuticals USA, Inc.",2023-03-13,Revised,Rheumatology,2023,3
Methylprednisolone Acetate Injection,Current,Available,Unknown,Injection,Pfizer Inc.,2021-12-15,Reverified,Rheumatology,2021,12
"Potassium Citrate Tablet, Extended Release",To Be Discontinued,Unknown,Unknown,Tablet,Watson Pharma Private Limited,2025-07-17,New,Renal,2025,7
"Rifapentine Tablet, Film Coated",Current,Available,Unknown,Tablet,Sanofi-Aventis U.S. LLC,2020-03-25,Reverified,Anti-Infective,2020,3
Rocuronium Bromide Injection,Current,Available,Unknown,Injection,Baxter Healthcare,2023-02-15,Reverified,Anesthesia,2023,2
Sodium Bicarbonate Injection,Current,Available,Unknown,Injection,"Hospira, Inc., a Pfizer Company",2017-03-01,Reverified,Endocrinology/Metabolism,2017,3
Bupivacaine Hydrochloride Injection,Current,Available,Unknown,Injection,Kindos Pharmaceuticals Co. Ltd.,2018-02-20,Reverified,Anesthesia,2018,2
Dextrose Monohydrate 5% Injection,Current,Available,Unknown,Injection,Baxter Healthcare,2022-02-14,Reverified,Endocrinology/Metabolism,2022,2
Flurazepam Hydrochloride Capsule,Current,Available,Unknown,Capsule,Chartwell Molecular Holdings LLC,2022-08-03,Reverified,Neurology,2022,8
Heparin Sodium Injection,Current,Available,Unknown,Injection,"Fresenius Kabi USA, LLC",2017-11-14,Reverified,Hematology,2017,11
Morphine Sulfate Injection,Current,Unavailable,Other,Injection,"Fresenius Kabi USA, LLC",2017-10-31,Revised,Analgesia/Addiction,2017,10
Epinephrine Injection,To Be Discontinued,Unknown,Unknown,Injection,"Hospira, Inc., a Pfizer Company",2025-11-07,New,Cardiovascular,2025,11
"Fluvastatin Sodium Tablet, Extended Release",To Be Discontinued,Unknown,Unknown,Tablet,Sandoz Inc.,2026-01-27,New,Cardiovascular,2026,1
