generic_name,status,availability,shortage_reason,dosage_form,company_name,initial_posting_date,update_type,therapeutic_category,year,month,risk,generic_name_encoded,shortage_reason_encoded,dosage_form_encoded,company_name_encoded,update_type_encoded,therapeutic_category_encoded,production_drop_3m,import_dependency,demand_surge,days_since_last_shortage,manufacturer_shortage_history,price_increase_pct
Midazolam Hydrochloride Injection,Current,Unavailable,Demand increase for the drug,Injection,"Avet Pharmaceuticals, Inc.",2020-04-02,Revised,Anesthesia,2020,4,0,146,1,8,17,2,1,34.93428306022466,69.41339652303691,0,704.6391486712727,0.264896622245927,6.800534719663851
Lisdexamfetamine Dimesylate Capsule,Current,Available,Unknown,Capsule,Apotex Corp.,2023-11-01,Reverified,Psychiatry,2023,11,0,132,8,0,12,1,15,22.23471397657631,54.016010452427274,1,370.42104284677595,7.422576960104841,27.675964464048615
Ivabradine Hydrochloride Tablet,To Be Discontinued,Unknown,Unknown,Tablet,Amgen Inc.,2026-03-24,New,Cardiovascular,2026,3,1,121,8,24,9,0,4,37.953770762013846,39.692331598392066,1,637.1217828214299,0.46137682425781623,9.670729271563106
Lisdexamfetamine Dimesylate Capsule,Current,Limited Availability,Shortage of an active ingredient,Capsule,"Elite Laboratories, Inc.",2023-07-14,Reverified,Psychiatry,2023,7,0,132,6,0,34,1,15,55.46059712816051,59.79662142646009,0,268.69873322060096,5.85118913420561,31.83455187570381
Lisdexamfetamine Dimesylate Capsule,Current,Limited Availability,Shortage of an active ingredient,Capsule,"Hikma Pharmaceuticals USA, Inc.",2023-07-14,Reverified,Psychiatry,2023,7,0,132,6,0,53,1,15,20.31693250553328,86.79740256769475,1,587.7423456079633,0.0,0.0
"Topiramate Capsule, Extended Release",To Be Discontinued,Unknown,Unknown,"Capsule, Extended Release","Upsher-Smith Laboratories, LLC",2025-04-24,New,Neurology,2025,4,1,226,8,1,122,0,10,20.31726086101639,42.082057579583385,1,215.8090466972833,5.971603303888161,4.925361273501693
Dexmedetomidine Hydrochloride Injection,Current,Available,Unknown,Injection,HQ Specialty Pharma,2020-04-10,Reverified,Anesthesia,2020,4,0,62,8,8,50,1,1,56.58425631014783,23.560355297245888,0,914.4886956110132,3.582193879997243,3.3677551807018204
Atazanavir Sulfate Capsule,To Be Discontinued,Unknown,Unknown,Capsule,Bristol Myers Squibb Co.,2025-06-04,New,Antiviral,2025,6,1,17,8,0,21,0,3,40.348694583058176,69.3557747243134,1,293.5078082365857,8.537592106907653,23.050306376074968
Dextrose Monohydrate 70% Injection,Current,Available,Unknown,Injection,Otsuka ICU Medical LLC,2024-10-11,Reverified,Endocrinology/Metabolism,2024,10,0,66,8,8,89,1,6,15.610512281300958,42.35161439302084,0,731.3858875072392,0.6053121803610102,28.326345491623805
Sterile Water Injection,Current,Available,Unknown,Injection,"Hospira, Inc., a Pfizer Company",2021-11-23,Reverified,Other,2021,11,0,214,8,8,54,1,13,35.85120087171929,0.0,1,57.331450885068364,2.3076555981652165,24.209560501740306
Bumetanide Injection,Current,Available,Unknown,Injection,MSN Laboratories Private Limited,2017-12-13,Reverified,Cardiovascular,2017,12,0,29,8,8,69,1,4,15.731646143750755,63.64327689730928,0,773.4108498137418,2.8887021957686816,12.365352074139448
Lisdexamfetamine Dimesylate Capsule,Current,Available,Unknown,Capsule,"Teva Pharmaceuticals USA, Inc.",2023-07-14,Revised,Psychiatry,2023,7,0,132,8,0,117,2,15,15.685404928594863,33.222779909013695,0,161.76557575612986,3.5424997895490637,0.0
Omeprazole Delayed Release Capsule,To Be Discontinued,Unknown,Unknown,Unknown,Sandoz Inc.,2025-10-09,New,Gastroenterology,2025,10,1,162,8,29,103,0,7,29.839245431320684,43.00826778930846,0,591.4118824410782,2.9620575072925277,20.58053442136345
Phenobarbital Tablet,To Be Discontinued,Unknown,Unknown,Tablet,"Endo Pharmaceuticals, Inc.",2025-10-31,New,Analgesia/Addiction,2025,10,1,177,8,24,35,0,0,0.0,52.30356727251832,1,858.1203406717952,3.0199643022730394,31.820736264756043
Ropivacaine Hydrochloride Injection,Current,Available,Unknown,Injection,Eugia US LLC,2018-03-23,Revised,Anesthesia,2018,3,0,206,8,8,38,2,1,0.0,49.190992955139464,0,430.0059855051272,2.970812369843011,60.20763307449868
"Lisdexamfetamine Dimesylate Tablet, Chewable",Current,Available,Unknown,"Tablet, Chewable","Sun Pharmaceutical Industries, Inc.",2023-07-14,Revised,Psychiatry,2023,7,0,133,8,25,113,2,15,13.754249415180546,60.60793997705887,0,139.7915812389234,0.0,13.634071689340082
Clindamycin Phosphate Injection,Current,Available,Unknown,Injection,Baxter Healthcare,2023-03-21,Reverified,Anti-Infective,2023,3,0,49,8,8,20,1,2,4.743377593311525,35.41929984746345,0,673.8843774975725,6.980003504823304,10.020267335988693
Dextrose Monohydrate 5% Injection,Current,Available,Unknown,Injection,Baxter Healthcare,2022-02-14,Revised,Endocrinology/Metabolism,2022,2,0,64,8,8,20,2,6,31.28494665190548,56.28832755987382,1,205.6565103547082,12.583409702901053,24.803821719322308
Dopamine Hydrochloride Injection,Current,Unavailable,Other,Injection,"Hospira, Inc., a Pfizer Company",2017-11-06,Revised,Cardiovascular,2017,11,0,71,3,8,54,2,4,6.839518489575781,39.28997309315382,0,358.51404028096994,4.894813313802964,16.157623351678307
Methylprednisolone Acetate Injection,Current,Limited Availability,Other,Injection,Amneal Pharmaceuticals,2021-12-15,Revised,Rheumatology,2021,12,0,143,3,8,10,2,19,0.0,61.253830579525065,0,592.9119308235046,0.5927474564251183,39.13060110894811
Nitroglycerin Injection,Resolved,Unknown,Unknown,Injection,Baxter Healthcare,2023-10-06,Revised,Cardiovascular,2023,10,0,158,8,8,20,2,4,54.31297537843108,58.538084648287175,0,976.2366126376969,0.8963841074551384,7.877170126277928
Posaconazole Injection,To Be Discontinued,Unknown,Unknown,Injection,Merck Sharp & Dohme Corp.,2025-12-02,New,Anti-Infective,2025,12,1,186,8,8,73,0,2,20.484473990269287,24.420348555018904,0,509.2936738298141,5.839522005674704,16.26728421513456
Baclofen Tablet,To Be Discontinued,Unknown,Unknown,Tablet,"Upsher-Smith Laboratories, LLC",2025-04-23,New,Neurology,2025,4,1,25,8,24,122,0,10,26.35056409375848,68.89160655585071,1,508.0001284457932,5.15640842754473,33.14319611408519
"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection",Current,Available,Unknown,Injection,"Hospira, Inc., a Pfizer Company",2018-02-20,Reverified,Anesthesia,2018,2,0,32,8,8,54,1,1,0.0,33.20880420749094,1,758.129512767998,3.1471296683399848,24.625464689478285
Lisdexamfetamine Dimesylate Capsule,Current,Available,Unknown,Capsule,"Lannett Company, Inc.",2023-07-14,Reverified,Psychiatry,2023,7,0,132,8,0,65,1,15,14.112345509496347,62.77727156218519,0,517.6301638355488,6.260213112637556,37.41811507637043
"Methylphenidate Film, Extended Release",Current,Available,Unknown,"Film, Extended Release","Noven Pharmaceuticals, Inc.",2025-02-28,Revised,Psychiatry,2025,2,0,141,8,4,85,2,15,27.21845179419732,53.0803208948295,0,722.4355699415144,0.0,13.451509228555011
Nebivolol Hydrochloride Tablet,To Be Discontinued,Unknown,Unknown,Tablet,Torrent Pharmaceuticals Limited,2026-03-25,New,Cardiovascular,2026,3,1,155,8,24,120,0,4,1.980128451553945,85.44004088949269,1,877.4867411220314,6.262186381693372,38.949267535530566
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Limited Availability,Shortage of an active ingredient,Tablet,Sandoz Inc.,2022-10-12,Reverified,Psychiatry,2022,10,0,12,6,24,103,1,15,32.51396036691344,40.083748387819256,0,385.2919974062002,4.713283493784679,0.0
Dextrose Monohydrate 10% Injection,Current,Available,Unknown,Injection,B. Braun Medical Inc.,2022-03-01,Reverified,Endocrinology/Metabolism,2022,3,0,63,8,8,18,1,6,12.987226201623901,37.31503048539965,1,30.0,1.012156027650303,0.0
Dextrose Monohydrate 5% Injection,Current,Available,Unknown,Injection,Baxter Healthcare,2022-02-14,Reverified,Endocrinology/Metabolism,2022,2,0,64,8,8,20,1,6,19.166125004134464,44.572768670469884,1,213.7255172450868,0.0,39.18559874688881
Deferiprone Tablet,To Be Discontinued,Unknown,Unknown,Tablet,"Chiesi USA, Inc.",2025-11-07,New,Hematology,2025,11,1,56,8,24,25,0,8,12.965867755412061,38.33004477764594,1,923.038703792356,4.363981848236882,20.110243631971247
Furosemide Injection,Current,Available,Unknown,Injection,"Meitheal Pharmaceuticals, Inc.",2020-04-07,Reverified,Cardiovascular,2020,4,0,96,8,8,72,1,4,62.04556369017875,62.5987218427251,0,488.18232651082104,8.22171441030329,33.81223798819993
Lidocaine Hydrochloride Injection,Current,Available,Unknown,Injection,"Fresenius Kabi USA, LLC",2012-02-22,Reverified,Anesthesia,2012,2,0,128,8,8,42,1,1,24.73005550524132,9.441166614395065,0,381.30440517523533,3.3157203040088974,21.49206437163726
Lidocaine Hydrochloride Injection,Current,Unavailable,Discontinuation of the manufacture of the drug,Injection,"Hospira, Inc., a Pfizer Company",2012-02-22,Reverified,Anesthesia,2012,2,0,128,2,8,54,1,1,3.845781420881991,21.81898677878021,1,908.3747476211227,1.441944951301481,19.894386372039502
Methylprednisolone Acetate Injection,Current,Available,Unknown,Injection,Pfizer Inc.,2021-12-15,Reverified,Rheumatology,2021,12,0,143,8,8,92,1,19,41.45089824206378,21.50833572525775,0,464.53627931953645,4.573864780408758,0.0796871131366288
Lisdexamfetamine Dimesylate Capsule,Current,Limited Availability,Shortage of an active ingredient,Capsule,SpecGx LLC,2023-07-14,Reverified,Psychiatry,2023,7,0,132,6,0,109,1,15,0.5831270005795552,65.90676702341867,1,30.0,9.462615430370422,19.59740647524272
Methylprednisolone Acetate Injection,Current,Unavailable,Demand increase for the drug,Injection,"Par Health, USA LLC",2022-06-16,Reverified,Rheumatology,2022,6,0,143,1,8,91,1,19,29.177271900095107,82.63349419680236,0,30.0,5.293899439191149,40.42410854475127
Sodium Bicarbonate Injection,Current,Unavailable,Discontinuation of the manufacture of the drug,Injection,"Hospira, Inc., a Pfizer Company",2017-03-01,Reverified,Endocrinology/Metabolism,2017,3,0,209,2,8,54,1,6,0.0,42.70211719217563,1,646.526807285917,5.618205964628224,20.850054411075078
Clonazepam Tablet,Current,Unavailable,Requirements related to complying with good manufacturing practices,Tablet,Accord Healthcare Inc.,2023-03-10,Revised,Neurology,2023,3,0,51,5,24,1,2,10,0.0,41.28592208981976,0,476.58817044184576,7.668395907911668,30.231172936103402
Lisdexamfetamine Dimesylate Capsule,Current,Unavailable,Shortage of an active ingredient,Capsule,Amneal Pharmaceuticals,2023-07-14,Reverified,Psychiatry,2023,7,0,132,6,0,10,1,15,28.93722471738247,46.54114758848999,0,1009.1297675902276,5.417672198151467,29.815609390904267
Methotrexate Sodium Injection,Current,Limited Availability,Other,Injection,"Teva Pharmaceuticals USA, Inc.",2023-03-13,Revised,Rheumatology,2023,3,0,140,3,8,117,2,19,39.76933159990821,70.56132265738019,0,243.35596066853816,1.6570908785195373,4.809379750075527
Methylprednisolone Acetate Injection,Current,Available,Unknown,Injection,Pfizer Inc.,2021-12-15,Reverified,Rheumatology,2021,12,0,143,8,8,92,1,19,28.42736562379941,24.59823104780737,1,391.6747332986719,0.0,32.85695497629078
"Potassium Citrate Tablet, Extended Release",To Be Discontinued,Unknown,Unknown,Tablet,Watson Pharma Private Limited,2025-07-17,New,Renal,2025,7,1,189,8,24,126,0,17,22.68703435223519,50.24411762016527,1,190.42392442899308,1.235040640665213,15.294069154102285
"Rifapentine Tablet, Film Coated",Current,Available,Unknown,Tablet,Sanofi-Aventis U.S. LLC,2020-03-25,Reverified,Anti-Infective,2020,3,0,203,8,24,104,1,2,18.977926088214225,66.45434785521346,0,317.7920378118415,0.6858210847069754,16.105213875579583
Rocuronium Bromide Injection,Current,Available,Unknown,Injection,Baxter Healthcare,2023-02-15,Reverified,Anesthesia,2023,2,0,205,8,8,20,1,1,0.0,56.0240717386766,0,30.0,5.977924358533983,51.46542783507989
Sodium Bicarbonate Injection,Current,Available,Unknown,Injection,"Hospira, Inc., a Pfizer Company",2017-03-01,Reverified,Endocrinology/Metabolism,2017,3,0,209,8,8,54,1,6,10.603115832105827,49.170795565172355,1,365.0103675823139,6.395044154047323,28.959550502472787
Bupivacaine Hydrochloride Injection,Current,Available,Unknown,Injection,Kindos Pharmaceuticals Co. Ltd.,2018-02-20,Reverified,Anesthesia,2018,2,0,31,8,8,63,1,1,15.78722458080425,67.02301403647711,0,481.84589768053434,4.526716185146464,10.422469635841875
Dextrose Monohydrate 5% Injection,Current,Available,Unknown,Injection,Baxter Healthcare,2022-02-14,Reverified,Endocrinology/Metabolism,2022,2,0,64,8,8,20,1,6,46.14244452437831,0.0,0,452.28420513701064,0.1939240694704809,20.968070945145836
