generic_name,status,therapeutic_category,company_name,year,month,shortage_reason,production_drop_3m,import_dependency,risk_prediction,risk_label
Midazolam Hydrochloride Injection,Current,Anesthesia,"Avet Pharmaceuticals, Inc.",2020,4,Demand increase for the drug,34.93428306022466,69.41339652303691,0,Not At Risk
Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,Apotex Corp.,2023,11,Unknown,22.23471397657631,54.01601045242728,0,Not At Risk
Ivabradine Hydrochloride Tablet,To Be Discontinued,Cardiovascular,Amgen Inc.,2026,3,Unknown,37.953770762013846,39.69233159839207,1,At Risk
Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,"Elite Laboratories, Inc.",2023,7,Shortage of an active ingredient,55.46059712816051,59.79662142646009,0,Not At Risk
Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,"Hikma Pharmaceuticals USA, Inc.",2023,7,Shortage of an active ingredient,20.31693250553328,86.79740256769475,0,Not At Risk
"Topiramate Capsule, Extended Release",To Be Discontinued,Neurology,"Upsher-Smith Laboratories, LLC",2025,4,Unknown,20.31726086101639,42.082057579583385,0,Not At Risk
Dexmedetomidine Hydrochloride Injection,Current,Anesthesia,HQ Specialty Pharma,2020,4,Unknown,56.58425631014783,23.560355297245888,0,Not At Risk
Atazanavir Sulfate Capsule,To Be Discontinued,Antiviral,Bristol Myers Squibb Co.,2025,6,Unknown,40.348694583058176,69.3557747243134,1,At Risk
Dextrose Monohydrate 70% Injection,Current,Endocrinology/Metabolism,Otsuka ICU Medical LLC,2024,10,Unknown,15.610512281300958,42.35161439302084,0,Not At Risk
Sterile Water Injection,Current,Other,"Hospira, Inc., a Pfizer Company",2021,11,Unknown,35.85120087171929,0.0,0,Not At Risk
Bumetanide Injection,Current,Cardiovascular,MSN Laboratories Private Limited,2017,12,Unknown,15.731646143750757,63.64327689730928,0,Not At Risk
Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,"Teva Pharmaceuticals USA, Inc.",2023,7,Unknown,15.685404928594863,33.222779909013695,0,Not At Risk
Omeprazole Delayed Release Capsule,To Be Discontinued,Gastroenterology,Sandoz Inc.,2025,10,Unknown,29.839245431320684,43.00826778930846,1,At Risk
Phenobarbital Tablet,To Be Discontinued,Analgesia/Addiction,"Endo Pharmaceuticals, Inc.",2025,10,Unknown,0.0,52.30356727251832,1,At Risk
Ropivacaine Hydrochloride Injection,Current,Anesthesia,Eugia US LLC,2018,3,Unknown,0.0,49.19099295513946,0,Not At Risk
